个人所得税子女教育的扣除标准是多少？,个人所得税 子女教育 扣除标准,1,子女教育按照每个子女每年12000元(每月1000元)的标准定额扣除。
个人所得税赡养老人的扣除标准是多少？,个人所得税 赡养老人 扣除标准,2,独生子女，按照每月2000元的标准定额扣除；非独生子女，兄弟姐妹分摊每月2000元的扣除。
子女教育对于寒暑假是否中断享受？,子女教育 寒暑假 中断享受,3,不中断享受。
个人所得税专项附加扣除住房租金和住房贷款利息可以同时享受吗？,个人所得税专项附加扣除 住房租金 住房贷款 利息 可以同时享受,4,不可以。
子女教育扣除方式有哪些？,子女教育扣除 方式,5,父母双方选择一人扣除或分摊扣除1000元。
个人所得税专项附加扣除有哪些？,个人所得税专项附加扣除 有哪些,6,子女教育、赡养老人、继续教育、住房租金、住房贷款利息、大病医疗、3岁以下婴幼儿照护
国家税务总局贵阳市南明区税务局地址？,南明区税务局地址,7,贵州省贵阳市南明区箭道街22号。
国家税务总局贵州省税务局地址？,贵州省税务局地址,8,贵州省贵阳市观山湖区通宝路2号。
国家税务总局贵阳市税务局地址？,贵阳市税务局地址,9,贵州省贵阳市云岩区中华北路23号。
国家税务总局贵阳市南明区税务局咨询电话？,贵阳市南明区税务局 咨询电话,10,0851-85207056、0851-85557526。
全国纳税咨询服务热线是多少？,全国 纳税咨询服务热线,11,全国纳税咨询服务热线是12366。
2023年税收宣传月的主题是什么？,2023年 税收宣传月的主题,12,今年是第32个全国税收宣传月，主题是“税惠千万家、共建现代化”。
南税易办是什么？,南税易办 是什么,13,“南税易办”国家税务总局贵阳市南明区税务局创建的便民办税服务品牌，围绕“税企易通—沟通零距离，政策易学—宣传零死角，发票易达—邮寄零费用，税费易退—通道零阻碍”四大主题。为纳税人提供更加高效便捷的服务。
今天是几号？,今天是几号,14,今天是2023年4月24日。
今天的日期是？,今天的日期是,15,今天是2023年4月24日。
今年是第几个税收宣传月？,今年 第几个税收宣传月,16,今年是第32个全国税收宣传月。
你叫什么？,你叫什么,17,我叫小易，是您的办税小助手。我的名字取自“南税易办”中的易，希望能通过我的帮助让你在南明区税务局办税缴费更加容易。
你是谁？,你是谁,18,我叫小易，是您的办税小助手。我的名字取自“南税易办”中的易，希望能通过我的帮助让你在南明区税务局办税缴费更加容易。
你的名字？,你的名字,19,我叫小易，是您的办税小助手。我的名字取自“南税易办”中的易，希望能通过我的帮助让你在南明区税务局办税缴费更加容易。
你姓什么？,你姓什么,20,我叫小易，是您的办税小助手。我的名字取自“南税易办”中的易，希望能通过我的帮助让你在南明区税务局办税缴费更加容易。
我在南明区哪里可以开发票？,南明区 哪里 代开发票,21,您可以在南明区箭道街办税服务厅，地址：贵阳市南明区箭道街22号；或者南明区政务服务大厅，地址：贵阳市南明区青云路滨河湾一号。
开发票需要携带什么资料？,开发票 携带 什么 资料,22,本人携带身份证及相关开票信息即可。
小规模纳税人增值税税率是多少？,小规模纳税人增值税税率是多少,23,2023年度增值税优惠税率为百分之一。
小规模纳税人标准是什么？,小规模纳税人 认定 标准,24,增值税小规模纳税人标准为年应征增值税销售额500万元及以下。
小规模纳税人的纳税申报期限是多久？,小规模纳税人 纳税申报期限,25,按照固定期限纳税的小规模纳税人可以根据自己的实际经营情况选择实行按月纳税或按季纳税。
一般纳税人的纳税申报期限是多久？,一般纳税人 纳税申报期限,26,一般纳税人以1个月为1个纳税期，自期满之日起15日内申报纳税。
南明区税务局的纳税服务投诉电话是多少？,南明 纳税服务投诉电话,27,0851-85860707。
南明区税务局第二税务分局的地址在哪里？,南明 第二税务分局 地址,28,贵阳市南明区箭道南巷21号四楼，您可以拨打电话0851-85864880咨询相关涉税业务。
南明区税务局新华税务分局的地址在哪里？,南明 新华税务分局 地址,29,贵阳市南明区箭道南巷21号二楼，您可以拨打电话0851-85868887咨询相关涉税业务。
南明区税务局中南税务分局的地址在哪里？,南明 中南税务分局 地址,30,贵阳市南明区市府路52号二楼，您可以拨打电话0851-85829644咨询相关涉税业务。
南明区税务局河滨税务分局的地址在哪里？,南明 河滨税务分局 地址,31,贵阳市南明区瑞金南路28号久远大厦四楼，您可以拨打电话0851-85861344咨询相关涉税业务。
南明区税务局花果园税务分局的地址在哪里？,南明 花果园税务分局 地址,32,贵阳市南明区花果园国际中心三号楼B座403办公室，您可以拨打电话0851-85400370咨询相关涉税业务。
南明区税务局中曹司税务分局的地址在哪里？,南明 中曹司税务分局 地址,33,贵阳市南明区花溪大道中段五湖巷4号，您可以拨打电话0851-83711006咨询相关涉税业务。
南明区税务局二戈寨税务分局的地址在哪里？,南明 二戈寨税务分局 地址,34,贵阳市南明区二戈寨白马井路2号，您可以拨打电话0851-83923966咨询相关涉税业务。
南明区税务局后巢税务分局的地址在哪里？,南明 后巢税务分局 地址,35,贵阳市南明区朝阳洞路29号后巢乡政府大院二楼，您可以拨打电话0851-85776712咨询相关涉税业务。
南明区税务局水口寺税务分局的地址在哪里？,南明 水口寺税务分局 地址,36,贵阳市南明区蟠桃宫18号，您可以拨打电话0851-85615309咨询相关涉税业务。
南明区税务局税源管理股的地址在哪里？,南明 税源管理股 地址,37,贵阳市南明区箭道街22号三楼，您可以拨打电话0851-85207180咨询相关涉税业务。
适用增值税进项税额加计抵减政策的纳税人，怎么申报加计抵减额？,增值税进项税额加计抵减 纳税人 申报 加计抵减额,38,适用加计抵减政策的生产、生活服务业纳税人，当期按照规定可计提、调减、抵减的加计抵减额，在申报时填写在《增值税及附加税费申报表附列资料（四）》 “二、加计抵减情况”相关栏次。
什么是小微企业？,是 小微企业,39,小型微利企业是指从事国家非限制和禁止行业，且同时符合年度应纳税所得额不超过300万元、从业人数不超过300人、资产总额不超过5000万元等三个条件的企业。
每个月什么时候可以缴纳灵活就业人员医疗保险费？,每个月 什么 缴纳 灵活就业人员医疗保险,40,灵活就业人员应于申报当月最后一日前缴纳已申报的基本医疗保险和大额医疗费用补助。
请问灵活就业人员需要补缴的社会保险费，怎么缴纳？,灵活就业人员 补缴 社会保险费 怎么缴纳,41,缴费人需根据参保统筹区关于补缴的规定，判断是否先到医保部门办理费款核定，再通过税务部门提供的缴费渠道缴纳。
请问现在可以通过哪些渠道缴纳灵活就业人员社会保险费？,现在 通过哪些渠道 缴纳灵活就业人员 社会保险费,42,灵活就业人员可通过“贵州税务”微信公众号“享服务”、微信“城市服务”、支付宝“市民中心”向税务部门申报缴纳。还可以通过税务机关各办税服务厅、政务服务中心税务征收窗口申报缴纳。
小规模纳税人可以取得增值税专用发票吗？,小规模纳税人 可以 取得增值税专用发票,43,小规模纳税人可以取得增值税专用发票，但是由于小规模纳税人采取简易计税方法，不能抵扣进项税，所以小规模取得增值税专用发票与取得普通发票的作用一样。
小规模纳税人能否收取增值税电子专用发票？,小规模纳税人 收取增值税电子专用发票,44,小规模纳税人可以接收增值税电子专用发票，但是由于小规模纳税人采取简易计税方法，不能抵扣进项税，所以小规模纳税人取得增值税电子专用发票与取得普通发票的作用一样。
个人转让非住房，装修费可以在计算个人所得税时扣除吗？,个人 转让非住房 装修费 可以 个人所得税时 扣除,45,对于非住房发生的合理的装修费用，可以凭发票扣除。
全电发票的特点有哪些？,全电发票 特点 有哪些,46,去介质、去版式、标签化、要素化、授信制、赋码制。
请问确认发票勾选抵扣、申请出口退税、代办退税是通过什么平台？,确认发票勾选抵扣 申请出口退税 代办退税 平台,47,通过增值税发票综合服务平台。
全电发票怎么查验真伪？,全电发票 查验真伪,48,个人或单位均可通过全国增值税发票查验平台。
中了彩票要交多少税率的个人所得税？,中了彩票 多少税率 个人所得税,49,彩票获奖属于偶然所得，适用比例税率，税率为百分之二十。
保险赔款要交个人所得税吗？,保险赔款 要交 个人所得税,50,保险赔款免征个人所得税。
个人所得税综合所得汇算清缴的时间？,个人所得税 综合所得 汇算清缴 时间,51,居民个人取得综合所得，在取得所得的次年三月一日至六月三十日内办理汇算清缴。
企业所得税汇算清缴的时间？,企业所得 税汇算清缴 时间,52,企业应当自年度终了之日起五个月内，向税务机关报送年度企业所得税纳税申报表，并汇算清缴，结清应缴应退税款。
怎么办理申报纳税？,怎么 办理申报纳税,53,您可以通过贵州省电子税务局网上办税，也可以到所在地的税务大厅线下办税。
什么是生活服务？,什么是生活服务,54,生活服务，是指为满足城乡居民日常生活需求提供的各类服务活动。
生活服务包括什么内容？,生活服务包括什么内容,55,包括文化体育服务、教育医疗服务、旅游娱乐服务、餐饮住宿服务、居民日常服务和其他生活服务。
全电发票“三项服务”指的是什么？,全电发票 三项服务 什么,56,“三项服务”指“预先服”“随票服”“网格服”。
什么是企业的清算所得？,什么是企业 清算所得,57,企业所得税法第五十五条所称清算所得，是指企业的全部资产可变现价值或者交易价格减除资产净值、清算费用以及相关税费等后的余额。
今年税收宣传月的主题是什么？,今年 税收宣传月 主题 是什么,58,今年是第32个全国税收宣传月，主题是“税惠千万家、共建现代化”。
单位安置残疾人就业，城镇土地使用税有什么优惠政策？,单位安置残疾人就业 城镇土地使用税 优惠政策,59,对在一个纳税年度内月平均实际安置残疾人就业人数占单位在职职工总数的比例高于25%(含25%)且实际安置残疾人人数高于10人(含10人)的单位，可减征或免征该年度城镇土地使用税。具体减免税比例及管理办法由省、自治区、直辖市财税主管部门确定。
车辆被盗之后又找回来，那从什么时候开始缴纳车船税？,车辆被盗之后又找回来 从什么时候开始缴纳车船税,60,已办理退税的被盗抢车船失而复得的，纳税人应当从公安机关出具相关证明的当月起计算缴纳车船税。
申报“六税两费”减免优惠时，需要向税务机关提交什么资料?,申报 六税两费 减免优惠 向税务机关提交什么,61,本次减免优惠实行自行申报享受方式，除申报表单外，不需额外提交资料。
今年十一月的申报截止日期是哪天?,今年 11月 申报截止 期 是,72,今年十一月的申报截止日期是15日
今年十二月的申报截止日期是哪天?,今年 12月 申报截止 期 是,73,今年十二月的申报截止日期是15日
今年一月的申报截止日期是哪天?,今年 1月 申报截止 期 是,62,今年一月的申报截止日期是16日
今年二月的申报截止日期是哪天?,今年 2月 申报截止 期 是,63,今年二月的申报截止日期是15日
今年三月的申报截止日期是哪天?,今年 3月 申报截止 期 是,64,今年三月的申报截止日期是15日
今年四月的申报截止日期是哪天?,今年 4月 申报截止 期 是,65,今年四月的申报截止日期是17日
今年五月的申报截止日期是哪天?,今年 5月 申报截止 期 是,66,今年五月的申报截止日期是18日
今年六月的申报截止日期是哪天?,今年 6月 申报截止 期 是,67,今年六月的申报截止日期是15日
今年七月的申报截止日期是哪天?,今年 7月 申报截止 期 是,68,今年七月的申报截止日期是17日
今年八月的申报截止日期是哪天?,今年 8月 申报截止 期 是,69,今年八月的申报截止日期是15日
今年九月的申报截止日期是哪天?,今年 9月 申报截止 期 是,70,今年九月的申报截止日期是15日
今年十月的申报截止日期是哪天?,今年 10月 申报截止 期 是,71,今年十月的申报截止日期是23日
